method,suite,setting,seed,split,pair,aggregation,metric,value,source
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,query_micro,mAP,0.6664701644331217,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,subject_macro,rank1,0.675,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,subject_macro,rank5,0.95,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,subject_macro,mAP,0.6664701644331217,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,query_micro,rank1,0.8,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,query_micro,rank5,0.875,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,query_micro,mAP,0.6525845035910607,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,subject_macro,rank1,0.8,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,subject_macro,rank5,0.875,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,subject_macro,mAP,0.6525845035910607,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,rank1,0.7377049180327869,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,rank5,0.882903981264637,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,mAP,0.6457080246064926,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,rank1,0.6906729559748428,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,rank5,0.858,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,mAP,0.6131297922852557,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val,query_micro,rank1,0.95,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val,query_micro,rank5,0.99,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val,query_micro,mAP,0.9285129684209824,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val,subject_macro,rank1,0.95,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val,subject_macro,rank5,0.99,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val,subject_macro,mAP,0.9285129684209824,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,query_micro,rank1,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,query_micro,rank5,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,query_micro,mAP,0.9854761898517609,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,subject_macro,rank1,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,subject_macro,rank5,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,subject_macro,mAP,0.9854761898517609,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c3_to_c2,query_micro,rank1,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c3_to_c2,query_micro,rank5,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c3_to_c2,query_micro,mAP,0.995833334326744,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c3_to_c2,subject_macro,rank1,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c3_to_c2,subject_macro,rank5,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,val_c3_to_c2,subject_macro,mAP,0.995833334326744,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_general_to_personal,query_micro,rank1,0.89,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_general_to_personal,query_micro,rank5,0.94,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_general_to_personal,query_micro,mAP,0.7222353956848383,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_general_to_personal,subject_macro,rank1,0.89,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_general_to_personal,subject_macro,rank5,0.9399999999999998,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_general_to_personal,subject_macro,mAP,0.7222353956848384,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_personal,query_micro,rank1,0.6831683168316832,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_personal,query_micro,rank5,0.801980198019802,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_personal,query_micro,mAP,0.593090253227418,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_personal,subject_macro,rank1,0.6890476190476191,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_personal,subject_macro,rank5,0.8080952380952381,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_personal,subject_macro,mAP,0.5978106333102499,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_special,query_micro,rank1,0.6135831381733021,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_special,query_micro,rank5,0.7728337236533958,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,1,test_fixed5_to_special,query_micro,mAP,0.5196471916952233,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_1/20260809-132625_seed_0/retrieval_metrics.json
